date,value
2025-03-03,70.0
2025-03-10,75.0
2025-03-17,64.0
2025-03-24,74.0
2025-03-31,77.0
2025-04-07,86.0
2025-04-14,84.0
2025-04-21,82.0
2025-04-28,86.0
2025-05-05,55.0
2025-05-12,50.0
2025-05-19,69.0
2025-05-26,66.0
2025-06-02,65.0
2025-06-09,67.0
2025-06-16,71.0
2025-06-23,58.0
2025-06-30,84.0
2025-07-07,56.0
2025-07-14,86.0
2025-07-21,111.0
2025-07-28,59.0
2025-08-04,85.0
2025-08-11,70.0
2025-08-18,100.0
2025-08-25,63.0
2025-09-01,64.0
2025-09-08,104.0
2025-09-15,54.0
2025-09-22,74.0
2025-09-29,92.0
2025-10-06,70.0
2025-10-13,62.0
2025-10-20,68.0
2025-10-27,80.0
2025-11-03,59.0
2025-11-10,76.0
2025-11-17,84.0
2025-11-24,108.0
2025-12-01,80.0
2025-12-08,84.0
2025-12-15,67.0
2025-12-22,61.0
2025-12-29,57.0
2026-01-05,93.0
2026-01-12,76.0
2026-01-19,67.0
2026-01-26,74.0
2026-02-02,62.0
2026-02-09,79.0
2026-02-16,60.0
2026-02-23,63.0
2026-03-02,76.0
2026-03-09,64.0
2026-03-16,71.0
2026-03-23,54.0
2026-03-30,97.0
2026-04-06,79.0
2026-04-13,65.0
2026-04-20,69.0
2026-04-27,65.0
2026-05-04,82.0
2026-05-11,91.0
2026-05-18,62.0
2026-05-25,69.0
2026-06-01,112.0
2026-06-08,73.0
2026-06-15,81.0
2026-06-22,51.0
2026-06-29,76.0
2026-07-06,85.0
2026-07-13,102.0
2026-07-20,72.0
2026-07-27,84.0
2026-08-03,63.0
2026-08-10,66.0
2026-08-17,77.0
2026-08-24,74.0
2026-08-31,84.0
2026-09-07,77.0
2026-09-14,77.0
